,acc,precision,f1,recall,stop,best score,,avg f1,avg stop,best f1,spannweite,varianz
baseline,97.84,0.89,89.54,0.90,15,12,baseline,89.49,12,89.79,0.67,0.04712888889
,97.86,0.89,89.21,0.90,13,10,baseline + trainable,88.98,12,89.41,1.08,0.09756
,97.86,0.89,89.59,0.90,12,9,,,,,,
,97.77,0.89,89.12,0.89,12,9,,,,,,
,97.84,0.89,89.48,0.90,17,14,,,,,,
,97.87,0.90,89.70,0.90,17,14,,,,,,
,97.91,0.94,89.79,0.90,20,18.5,,,,,,
,97.89,0.89,89.68,0.90,15,12,,,,,,
,97.84,0.89,89.43,0.90,14,11,,,,,,
,97.82,0.89,89.34,0.90,14,11,,,,,,
baseline + trainable,97.85,0.88,88.86,0.90,14,11,,,,,,
,97.82,0.89,88.94,0.89,11,8,,,,,,
,97.93,0.89,89.41,0.90,20,18.5,,,,,,
,97.85,0.88,88.78,0.89,12,9,,,,,,
,97.90,0.89,89.35,0.90,20,18.5,,,,,,
,97.74,0.88,88.33,0.89,11,8,,,,,,
,97.86,0.89,89.15,0.89,10,7,,,,,,
,97.82,0.88,88.83,0.89,12,9,,,,,,
,97.86,0.89,89.09,0.90,19,16,,,,,,
,97.88,0.89,89.10,0.94,20,18.5,,,,,,
